ID;Estacion;Latitud;Longitud
101;Piraeus;37.9867513;23.7288213
102;Neo Faliro;37.96;23.68
103;Moschato;37.9552355;23.6802925
104;Kallithea;37.9604095;23.6969304
105;Tavros;37.9687965;23.6934298
106;Petralona;37.968347;23.7090441
107;Thissio;37.9772108;23.7195449
108;Monastiraki;37.9760959;23.7256297
109;Omonia;37.9820958;23.7274626
110;Victoria;37.9929456;23.7301953
111;Attiki;37.9995283;23.722839
112;Aghios Nikolaos;38.00751483506223;23.72802727940956
113;Kato Patissia;38.011403374873;23.729143078325432
114;Aghios Eleftherios;38.02026171288618;23.733005459223712
115;Ano Patissia;38.023870693338594;23.73595358730873
116;Perissos;38.0328448;23.7447123
117;Pefkakia;38.0371241;23.7501217
118;Nea Ionia;38.0415099;23.7548578
119;Iraklio;38.0572045;23.7713656
120;Irini;38.0433749;23.7830457
121;Neratziotissa;38.0451228;23.7936783
122;Maroussi;38.0562402;23.804941
123;KAT;38.0655977;23.8039921
124;Kifissia;38.0745497;23.8079703
201;Aghios Antonios;38.00675407002947;23.699491726643075
202;Sepolia;38.0026101;23.7140398
203;Attiki;37.9995283;23.722839
204;Larissa Station;37.9922822;23.7207199
205;Metaxourghio;37.98624953252499;23.720839210933928
206;Omonia;37.9820958;23.7274626
207;Panepistimio;37.9803554;23.7330199
208;Syntagma;37.9755029;23.7357427
209;Akropoli;37.9688593;23.7295312
210;Sygrou-Fix;37.964338038418184;23.726568290097944
211;Neos Kosmos;37.9576705;23.7283724
212;Aghios Ioannis;37.956629712245814;23.734670183005026
213;Dafni;37.9495601;23.7372326
214;Aghios Dimitrios;37.940668890782966;23.740780697774923
301;Egaleo;37.9914342;23.6818195
302;Eleonas;37.9878662;23.6940002
303;Kerameikos;37.9786654;23.7111631
304;Monastiraki;37.9760959;23.7256297
305;Syntagma;37.9755029;23.7357427
306;Evangelismos;37.9761258;23.7471036
307;Megaro Moussikis;37.97934984463451;23.75287849588745
308;Ambelokipi;37.9871933;23.7576802
309;Panormou;37.9932117;23.7635768
310;Katehaki;37.99376495;23.77676297689076
311;Ethniki Amyna;37.999184;23.7844745
312;Holargos;38.0049099;23.7947085
313;Nomismatokopio;38.0090991;23.8057757
314;Aghia Paraskevi;38.022564;23.8440691
315;Halandri;38.0225724;23.8447595
316;Doukissis Plakentias;38.02231715;23.835414957379086
317;Pallini;38.0225724;23.8447595
318;Paiania-Kantza;37.9854072929238;23.870406985250174
319;Koropi;37.913286685491364;23.89597172156
320;Airport;38.0225724;23.8447595
